datasets,count
"AMAZON_EXTENSION_2024_DynamicWorld_2024_22MHA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MHA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MHA_M_R",2
"AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHA_M_R",2
"AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MHA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MHA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MHA_M_R",2
"AMAZON_EXTENSION_2024_DynamicWorld_2024_22MHA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MHA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MHA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MHA_M_R",2
"AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MHA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MHA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MHA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MHA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MHA_M_R",2
"AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MHA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MHA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MHA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MHA_M_R",2
"AMAZON_EXTENSION_2024_DynamicWorld_2024_22MHA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MHA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MHA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHA_M_R",2
"AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MHA_M_R",1
"AMAZON_EXTENSION_2024_DynamicWorld_2024_22MHA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MHA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHA_M_R",1
"AMAZON_EXTENSION_2024_DynamicWorld_2024_22MHA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MHA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHA_M_R",1
"AMAZON_EXTENSION_2024_DynamicWorld_2024_22MHA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MHA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MHA_M_R",1
"AMAZON_EXTENSION_2024_DynamicWorld_2024_22MHA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MHA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MHA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHA_M_R",1
"AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MHA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MHA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MHA_M_R",1
"AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MHA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MHA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MHA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHA_M_R",1
"AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MHA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MHA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MHA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MHA_M_R",1
"AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MHA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHA_M_R",1
"AMAZON_EXTENSION_2024_DynamicWorld_2024_22MHA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MHA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MHA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MHA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MHA_M_R",1
"AMAZON_EXTENSION_2024_DynamicWorld_2024_22MHA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MHA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MHA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MHA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHA_M_R",1
